resultId,raceId,position,counterInvolvedProblems,winsUntilThisRace,podiumsUntilThisRace,driverAge,countryRankByChampionships,countryRankByProportion,allTimeStarts,allTimefastestLap,constructorRank
23762,988,1,4,3,22,28,4,0,111,7,3
23763,988,2,13,62,117,32,0,7,222,40,3
23764,988,3,12,47,99,30,1,8,212,34,0
23765,988,4,24,20,91,38,4,0,285,46,0
23766,988,5,6,3,11,20,8,14,74,4,4
23767,988,6,14,0,0,30,1,8,149,2,6
23768,988,7,12,0,7,27,8,14,148,4,33
23769,988,8,1,0,0,21,4,12,43,0,33
23770,988,9,18,32,97,36,6,6,305,23,1
23771,988,10,25,11,41,36,2,4,269,15,2
23772,988,11,19,0,10,31,4,12,136,1,33
23773,988,12,3,0,0,25,8,14,34,0,1
23774,988,13,4,0,1,25,8,14,74,0,33
23775,988,14,6,0,0,23,1,8,39,0,33
23777,988,16,0,0,0,21,4,12,19,0,30
23778,988,17,10,0,0,27,8,14,90,0,33
23779,988,18,2,0,1,19,7,5,34,0,2
23780,988,,7,0,0,23,6,6,74,0,6
23781,988,,5,5,27,28,4,2,143,13,4
23742,987,1,12,47,98,30,1,8,212,34,0
23743,987,2,4,2,21,28,4,0,111,7,3
23744,987,3,24,20,91,38,4,0,285,46,0
23745,987,4,13,62,116,32,0,7,222,40,3
23746,987,5,6,3,11,20,8,14,74,4,4
23747,987,6,5,5,27,28,4,2,143,13,4
23748,987,7,25,11,41,36,2,4,269,15,2
23749,987,8,18,32,97,36,6,6,305,23,1
23750,987,9,12,0,7,27,8,14,148,4,33
23751,987,10,14,0,0,30,1,8,149,2,6
23752,987,11,7,0,0,23,6,6,74,0,6
23753,987,12,0,0,0,21,4,12,19,0,30
23754,987,13,10,0,0,27,8,14,90,0,33
23755,987,14,6,0,0,23,1,8,39,0,33
23756,987,15,19,0,10,31,4,12,136,1,33
23757,987,16,2,0,1,19,7,5,34,0,2
23759,987,,1,0,0,21,4,12,43,0,33
23760,987,,3,0,0,25,8,14,34,0,1
23761,987,,4,0,1,25,8,14,74,0,33
23722,986,1,6,3,11,20,8,14,74,4,4
23723,986,2,4,2,20,28,4,0,111,7,3
23724,986,3,24,20,90,38,4,0,285,46,0
