resultId,raceId,position,grid,counterInvolvedProblems,winsUntilThisRace,podiumsUntilThisRace,countryRankByProportion,allTimeStarts,allTimefastestLap,constructorRank,driverTop100
23762,988,1,1,4,3,22,0,111,7,3,11
23763,988,2,2,13,62,117,7,222,40,3,1
23764,988,3,3,12,47,99,8,212,34,0,2
23765,988,4,5,24,20,91,0,285,46,0,101
23766,988,5,6,6,3,11,14,74,4,4,14
23767,988,6,7,14,0,0,8,149,2,6,101
23768,988,7,8,12,0,7,14,148,4,33,101
23769,988,8,9,1,0,0,12,43,0,33,63
23770,988,9,11,18,32,97,6,305,23,1,3
23771,988,10,10,25,11,41,4,269,15,2,8
23772,988,11,16,19,0,10,12,136,1,33,24
23773,988,12,13,3,0,0,14,34,0,1,101
23774,988,13,14,4,0,1,14,74,0,33,64
23775,988,14,18,6,0,0,8,39,0,33,101
23776,988,15,20,0,0,0,-1,-1,-1,30,101
23777,988,16,17,0,0,0,12,19,0,30,101
23778,988,17,19,10,0,0,14,90,0,33,101
23779,988,18,15,2,0,1,5,34,0,2,101
23780,988,,12,7,0,0,6,74,0,6,101
23781,988,,4,5,5,27,2,143,13,4,10
23742,987,1,2,12,47,98,8,212,34,0,2
23743,987,2,1,4,2,21,0,111,7,3,11
23744,987,3,3,24,20,91,0,285,46,0,101
23745,987,4,20,13,62,116,7,222,40,3,1
23746,987,5,4,6,3,11,14,74,4,4,14
23747,987,6,14,5,5,27,2,143,13,4,10
23748,987,7,9,25,11,41,4,269,15,2,8
23749,987,8,6,18,32,97,6,305,23,1,3
23750,987,9,5,12,0,7,14,148,4,33,101
23751,987,10,7,14,0,0,8,149,2,6,101
23752,987,11,8,7,0,0,6,74,0,6,101
23753,987,12,19,0,0,0,12,19,0,30,101
23754,987,13,17,10,0,0,14,90,0,33,101
23755,987,14,15,6,0,0,8,39,0,33,101
23756,987,15,11,19,0,10,12,136,1,33,24
23757,987,16,16,2,0,1,5,34,0,2,101
23758,987,,18,0,0,0,-1,-1,-1,30,101
23759,987,,10,1,0,0,12,43,0,33,63
23760,987,,12,3,0,0,14,34,0,1,101
23761,987,,13,4,0,1,14,74,0,33,64
23722,986,1,2,6,3,11,14,74,4,4,14
23723,986,2,4,4,2,20,0,111,7,3,11
23724,986,3,5,24,20,90,0,285,46,0,101
23725,986,4,1,12,46,97,8,212,34,0,2
23726,986,5,6,0,0,0,12,43,0,33,63
