CountryId,Nationality,Races,1st,2nd,3rd,Podiums,Poles,Fastest,Points
1,United Kingdom,3967,278,200,193,671,268,228,8496.28
2,Germany,2134,178,120,105,403,164,156,7509.5
3,Finland,965,50,77,80,207,56,83,3466.5
4,Brazil,1849,101,103,89,293,126,87,3423
5,France,2701,79,111,113,303,77,88,2925.47
6,Australia,711,42,39,46,127,35,55,2483.5
7,Spain,660,32,39,28,99,22,23,2144
8,Italy,2981,43,79,85,207,47,50,2019.8
9,Austria,666,41,40,37,118,46,49,990.5
10,United States,1188,31,39,51,121,38,36,937
11,Argentina,351,38,30,30,98,38,38,697.42
12,Netherlands,360,5,8,9,22,0,4,664
13,Mexico,319,2,5,8,15,0,6,617
14,New Zealand,375,12,23,36,71,6,14,541.5
15,Sweden,470,12,14,18,44,15,10,396
16,Canada,302,17,10,10,37,15,17,388
17,Belgium,460,11,11,23,45,14,14,383
18,Switzerland,448,7,16,13,36,7,20,348
19,Colombia,115,7,15,8,30,13,12,307
20,South Africa,195,10,16,10,36,3,5,282
21,Poland,76,1,5,6,12,1,1,273
22,Japan,554,0,0,3,3,0,3,209
23,Russian Federation,148,0,1,2,3,0,2,198
24,Denmark,111,0,1,0,1,0,1,135
25,Venezuela,114,1,0,0,1,1,0,76
26,Monaco,45,0,0,1,1,0,0,31
27,Ireland,67,0,0,0,0,0,0,16
28,Portugal,73,0,0,1,1,0,0,8
29,Thailand,19,0,0,0,0,0,0,8
30,Zimbabwe,17,0,1,0,1,0,0,6
31,India,57,0,0,0,0,0,0,5
32,Chile,24,0,0,0,0,0,0,3
33,Hungary,20,0,0,0,0,0,0,1
34,Indonesia,12,0,0,0,0,0,0,0
35,Malaysia,14,0,0,0,0,0,0,0
36,Uruguay,6,0,0,0,0,0,0,0
37,Liechtenstein,10,0,0,0,0,0,0,0
38,Czech Republic,3,0,0,0,0,0,0,0
